time,low,high,open,close,volume
2016-10-10,11.62,12.18,12.1,11.78,48871.347842650284
2016-10-11,11.7,12.24,11.78,11.77,37428.62847418999
2016-10-12,11.68,12.11,11.77,11.92,35966.20680252991
2016-10-13,11.72,12.11,11.92,11.87,33573.944757110046
2016-10-14,11.84,12.07,11.88,11.92,36671.12333651979
2016-10-15,11.78,11.97,11.91,11.95,21325.654447609282
2016-10-16,11.9,12.05,11.96,11.95,16434.519510620055
2016-10-17,11.83,11.99,11.95,11.96,29086.866180260164
2016-10-18,11.95,12.94,11.96,12.54,46033.28690623991
2016-10-19,11.88,12.65,12.55,12.01,39153.63503689986
2016-10-20,11.92,12.26,12.01,12.06,30258.773667659938
2016-10-21,11.96,12.13,12.07,12.05,19934.99934350975
2016-10-22,11.87,12.14,12.05,12.03,25534.432846170006
2016-10-23,11.87,12.06,12.04,11.94,20430.046857900055
2016-10-24,11.89,11.99,11.93,11.92,22587.739702740033
2016-10-25,11.05,11.95,11.91,11.33,73834.13047519972
2016-10-26,11.32,11.7,11.32,11.49,43365.694375539955
2016-10-27,11.22,11.57,11.49,11.48,43041.5536656898
2016-10-28,10.93,11.63,11.49,11.13,49280.810554039905
2016-10-29,9.52,11.35,11.14,10.47,88253.02376513963
2016-10-30,10.35,11.45,10.45,11.19,43247.01519782972
2016-10-31,10.85,11.44,11.2,10.98,34573.58358316009
2016-11-01,10.35,11.25,10.97,10.84,72257.87837690959
2016-11-02,10.72,11.17,10.84,10.83,39928.67548254991
2016-11-03,10.77,11.14,10.82,10.87,51296.31814710027
2016-11-04,10.81,11.16,10.87,11.15,34173.192680519925
2016-11-05,11.01,11.24,11.16,11.16,22486.5020442301
2016-11-06,10.92,11.2,11.16,11.01,20054.207084780024
2016-11-07,10.9,11.06,11.01,10.93,28147.975327759894
2016-11-08,10.81,11.01,10.93,10.84,41425.933792789685
2016-11-09,10.28,10.86,10.83,10.62,73175.22439690014
2016-11-10,10.44,10.68,10.64,10.51,26510.99928124003
2016-11-11,10.16,10.72,10.51,10.29,44519.98049712003
2016-11-12,9.65,10.34,10.29,9.95,46389.01102956997
2016-11-13,9.82,10.41,9.92,10.14,26632.72759073998
2016-11-14,9.93,10.19,10.13,10.02,29836.41862090001
2016-11-15,9.81,10.3,10.0,10.27,30112.61210254972
2016-11-16,9.82,10.42,10.27,10.0,42878.92400580031
2016-11-17,9.8,10.13,10.0,9.91,48661.31895180992
2016-11-18,9.45,9.97,9.9,9.51,55819.740977869624
2016-11-19,9.45,9.78,9.51,9.68,25492.172459130186
2016-11-20,9.52,9.78,9.69,9.6,25186.767753879998
2016-11-21,9.41,9.65,9.58,9.54,28988.662203819793
2016-11-22,9.49,10.21,9.53,9.87,38033.86777790008
2016-11-23,9.73,9.93,9.87,9.8,21427.232821239897
2016-11-24,8.68,9.82,9.8,9.18,67233.11391859007
2016-11-25,9.16,9.74,9.19,9.4,21992.720039600015
2016-11-26,9.26,9.48,9.42,9.33,17875.333663070047
2016-11-27,8.66,9.33,9.33,8.98,61939.50710924002
2016-11-28,8.63,9.0,8.97,8.67,46708.57126502999
2016-11-29,7.79,8.72,8.67,8.14,84684.16746046167
2016-11-30,8.14,8.75,8.14,8.61,57443.67791609185
2016-12-01,8.3,8.68,8.59,8.45,42193.04172296989
2016-12-02,7.27,8.46,8.46,7.73,118183.25313795859
2016-12-03,7.34,8.12,7.73,7.86,57901.27746199008
2016-12-04,7.35,7.92,7.87,7.37,45053.36838460996
2016-12-05,6.56,7.58,7.39,6.75,93549.91705136975
2016-12-06,5.81,7.99,6.76,7.83,169727.89511205952
