Date,Open,High,Low,Close,Adj Close,Volume
2015-02-03,203.000000,204.850006,202.550003,204.839996,185.624680,124212900
2015-02-04,203.919998,205.380005,203.509995,204.059998,184.917847,134306700
2015-02-05,204.860001,206.300003,204.770004,206.119995,186.784622,97953200
2015-02-06,206.559998,207.240005,204.919998,205.550003,186.268112,125672000
2015-02-09,204.770004,205.639999,204.139999,204.630005,185.434402,87219000
2015-02-10,205.880005,207.119995,204.679993,206.809998,187.409882,96164200
2015-02-11,206.610001,207.449997,205.830002,206.929993,187.518646,91087800
2015-02-12,207.889999,208.990005,206.970001,208.919998,189.321930,97545900
2015-02-13,209.070007,209.839996,208.759995,209.779999,190.101303,93670400
2015-02-17,209.399994,210.320007,209.100006,210.110001,190.400314,76968200
2015-02-18,209.660004,210.220001,209.339996,210.130005,190.418427,80652900
2015-02-19,209.410004,210.419998,209.240005,209.979996,190.282516,91462500
2015-02-20,209.479996,211.330002,208.729996,211.240005,191.424316,140896400
2015-02-23,210.940002,211.210007,210.479996,211.210007,191.397171,74411100
2015-02-24,211.119995,212.050003,210.759995,211.809998,191.940842,72472300
2015-02-25,211.660004,212.240005,211.220001,211.630005,191.777740,73061700
2015-02-26,211.520004,211.710007,210.649994,211.380005,191.551178,72697900
2015-02-27,211.259995,211.580002,210.600006,210.660004,190.898758,108076000
2015-03-02,210.779999,212.059998,210.720001,211.990005,192.104004,87491400
2015-03-03,211.470001,212.050003,210.080002,211.119995,191.315567,110325800
2015-03-04,210.399994,210.490005,209.059998,210.229996,190.509064,114497200
2015-03-05,210.619995,210.800003,209.850006,210.460007,190.717499,76873000
2015-03-06,209.419998,209.940002,207.100006,207.500000,188.035172,188128000
2015-03-09,207.740005,208.789993,207.550003,208.360001,188.814453,89818900
2015-03-10,206.710007,206.809998,204.929993,204.979996,185.751587,157121300
2015-03-11,205.289993,205.500000,204.399994,204.500000,185.316605,110145700
2015-03-12,205.259995,207.179993,205.199997,207.100006,187.672699,93993500
2015-03-13,206.770004,207.929993,204.580002,205.830002,186.521805,162410900
2015-03-16,206.710007,208.690002,205.860001,208.580002,189.013855,136099200
2015-03-17,207.690002,208.419998,206.979996,207.960007,188.451996,94510400
2015-03-18,207.389999,211.270004,206.619995,210.460007,190.717499,228808500
2015-03-19,209.960007,210.470001,209.029999,209.500000,189.847534,117917300
2015-03-20,209.710007,211.020004,209.490005,210.410004,191.523331,177715100
2015-03-23,210.419998,211.110001,210.000000,210.000000,191.150131,71784500
2015-03-24,209.850006,210.399994,208.740005,208.820007,190.076035,77805300
2015-03-25,209.070007,209.350006,205.710007,205.759995,187.290710,159521700
2015-03-26,204.960007,206.369995,204.119995,205.270004,186.844666,153067200
2015-03-27,205.130005,205.949997,204.899994,205.740005,187.272491,118939000
2015-03-30,206.979996,208.610001,206.960007,208.250000,189.557220,96180400
2015-03-31,207.259995,208.100006,206.360001,206.429993,187.900558,126768700
2015-04-01,206.389999,206.419998,204.509995,205.699997,187.236115,137303600
2015-04-02,205.619995,206.979996,205.399994,206.440002,187.909668,86900900
2015-04-06,205.369995,208.449997,205.210007,207.830002,189.174911,114368200
2015-04-07,207.860001,208.759995,207.240005,207.279999,188.674225,81236300
2015-04-08,207.550003,208.509995,207.080002,207.979996,189.311417,89351900
2015-04-09,207.779999,209.179993,207.190002,208.899994,190.148849,85548900
2015-04-10,209.199997,210.089996,208.960007,210.039993,191.186493,72722900
2015-04-13,209.869995,210.630005,209.029999,209.089996,190.321793,74436600
2015-04-14,208.850006,209.710007,208.100006,209.490005,190.685867,75099900
2015-04-15,210.050003,211.039993,209.949997,210.429993,191.541504,99529300
2015-04-16,210.029999,210.979996,209.789993,210.369995,191.486893,68934900
2015-04-17,208.940002,209.229996,207.009995,207.949997,189.284119,191113200
2015-04-20,209.059998,210.250000,208.960007,209.850006,191.013580,92189500
2015-04-21,210.669998,210.860001,209.240005,209.600006,190.786011,72559800
2015-04-22,210.009995,210.850006,208.899994,210.630005,191.723602,78264600
2015-04-23,210.149994,211.940002,210.009995,211.160004,192.205994,102585900
2015-04-24,211.660004,211.970001,211.110001,211.649994,192.652054,61327400
2015-04-27,212.330002,212.479996,210.539993,210.770004,191.850983,79358100
2015-04-28,210.740005,211.500000,209.330002,211.440002,192.460846,86863500
2015-04-29,210.369995,211.289993,209.600006,210.570007,191.668961,125684900
2015-04-30,209.880005,210.350006,207.619995,208.460007,189.748367,161304900
2015-05-01,209.399994,210.770004,209.279999,210.720001,191.805481,103399700
2015-05-04,211.229996,212.020004,211.100006,211.320007,192.351608,70927200
2015-05-05,211.029999,211.460007,208.729996,208.899994,190.148849,113326200
2015-05-06,209.559998,209.929993,206.759995,208.039993,189.366043,135060200
2015-05-07,207.919998,209.380005,207.520004,208.869995,190.121567,88244900
2015-05-08,210.880005,211.860001,210.779999,211.619995,192.624695,155877300
2015-05-11,211.570007,211.889999,210.520004,210.610001,191.705353,75708100
2015-05-12,209.610001,210.630005,208.619995,209.979996,191.131897,119727600
2015-05-13,210.470001,211.220001,209.740005,210.020004,191.168304,94667900
2015-05-14,211.240005,212.320007,210.910004,212.210007,193.161758,95934000
2015-05-15,212.440002,212.610001,211.860001,212.440002,193.371109,76510100
2015-05-18,212.240005,213.399994,212.160004,213.100006,193.971832,74549700
2015-05-19,213.240005,213.570007,212.690002,213.029999,193.908157,72114600
2015-05-20,213.149994,213.779999,212.500000,212.880005,193.771576,76857500
2015-05-21,212.710007,213.750000,212.509995,213.500000,194.335968,64764600
2015-05-22,213.039993,213.539993,212.910004,212.990005,193.871704,57433500
2015-05-26,212.399994,212.910004,210.199997,210.699997,191.787277,124308600
2015-05-27,211.250000,212.979996,210.759995,212.699997,193.607758,93214000
2015-05-28,212.330002,212.589996,211.630005,212.460007,193.389313,74974600
2015-05-29,212.380005,212.429993,210.820007,211.139999,192.187805,124919600
2015-06-01,211.940002,212.339996,210.619995,211.570007,192.579178,93338800
2015-06-02,211.020004,212.190002,210.270004,211.360001,192.388000,91531000
2015-06-03,212.000000,212.669998,211.330002,211.919998,192.897751,87820900
2015-06-04,211.070007,211.860001,209.750000,210.130005,191.268433,151882800
2015-06-05,209.949997,210.580002,208.979996,209.770004,190.940765,121704700
2015-06-08,209.639999,209.820007,208.389999,208.479996,189.766556,89063300
2015-06-09,208.449997,209.100006,207.690002,208.449997,189.739258,105034700
2015-06-10,209.369995,211.410004,209.300003,210.949997,192.014816,134551300
2015-06-11,211.479996,212.089996,211.199997,211.630005,192.633820,73876400
2015-06-12,210.639999,211.479996,209.679993,210.009995,191.159210,135382400
2015-06-15,208.639999,209.449997,207.789993,209.110001,190.339996,124384200
2015-06-16,208.929993,210.350006,208.720001,210.250000,191.377670,85308200
2015-06-17,210.589996,211.320007,209.360001,210.589996,191.687149,126708600
2015-06-18,211.309998,213.339996,210.630005,212.779999,193.680573,165867900
2015-06-19,211.460007,211.550003,210.360001,210.809998,192.820770,130478700
2015-06-22,211.910004,212.589996,211.639999,211.889999,193.808624,70696000
2015-06-23,212.139999,212.440002,211.570007,212.039993,193.945847,68476800
2015-06-24,211.720001,212.169998,210.470001,210.500000,192.537247,92307300
2015-06-25,211.100006,211.250000,209.770004,209.860001,191.951874,97107400
2015-06-26,210.289993,210.580002,209.160004,209.820007,191.915253,104174800
2015-06-29,208.050003,209.830002,205.330002,205.419998,187.890778,202621300
2015-06-30,207.259995,207.320007,205.279999,205.850006,188.284027,182925100
2015-07-01,207.729996,208.029999,206.559998,207.500000,189.793259,135979900
2015-07-02,208.070007,208.270004,206.809998,207.309998,189.619461,104373700
2015-07-06,205.770004,207.649994,205.529999,206.720001,189.079834,117975400
2015-07-07,206.960007,208.169998,204.110001,208.020004,190.268890,173820200
2015-07-08,206.419998,206.759995,204.250000,204.529999,187.076691,164020100
2015-07-09,207.039993,207.350006,204.770004,204.899994,187.415115,144113100
2015-07-10,207.289993,207.979996,204.949997,207.479996,189.774963,129456900
2015-07-13,208.990005,209.899994,208.940002,209.770004,191.869537,106069400
2015-07-14,209.720001,211.050003,209.649994,210.679993,192.701889,81709600
2015-07-15,210.729996,211.279999,210.039993,210.610001,192.637848,97914100
2015-07-16,211.869995,212.300003,211.580002,212.300003,194.183655,106683300
2015-07-17,212.289993,212.550003,211.800003,212.479996,194.348297,89030000
2015-07-20,212.750000,213.179993,212.210007,212.589996,194.448883,70446800
2015-07-21,212.429993,212.740005,211.389999,211.750000,193.680573,77965000
2015-07-22,210.929993,211.770004,210.889999,211.369995,193.332993,88667900
2015-07-23,211.529999,211.649994,209.750000,210.179993,192.244553,90509100
2015-07-24,210.300003,210.369995,207.600006,208.000000,190.250595,117755000
2015-07-27,206.940002,207.550003,206.259995,206.789993,189.143814,132361100
2015-07-28,207.789993,209.500000,206.800003,209.330002,191.467117,123544800
2015-07-29,209.479996,211.039993,209.309998,210.770004,192.784195,105791300
2015-07-30,210.160004,211.020004,209.419998,210.820007,192.829926,91304400
2015-07-31,211.419998,211.449997,210.160004,210.500000,192.537247,103266900
2015-08-03,210.460007,210.529999,208.649994,209.789993,191.887817,113965700
2015-08-04,209.699997,210.250000,208.800003,209.380005,191.512833,81820800
2015-08-05,210.449997,211.309998,209.729996,210.070007,192.143936,85786800
2015-08-06,210.289993,210.419998,207.649994,208.350006,190.570724,116030800
2015-08-07,208.160004,208.339996,206.869995,207.949997,190.204834,117858000
2015-08-10,209.279999,210.669998,209.279999,210.570007,192.601273,80270700
2015-08-11,208.970001,209.470001,207.759995,208.669998,190.863388,126081400
2015-08-12,207.110001,209.139999,205.360001,208.919998,191.092026,172123700
2015-08-13,208.729996,209.550003,208.009995,208.660004,190.854263,89383300
2015-08-14,208.429993,209.509995,208.259995,209.419998,191.549408,72786500
2015-08-17,208.710007,210.589996,208.160004,210.589996,192.619553,79072600
2015-08-18,210.259995,210.679993,209.699997,209.979996,192.061600,71692700
2015-08-19,209.089996,210.009995,207.350006,208.320007,190.543274,172946000
2015-08-20,206.509995,208.289993,203.899994,203.970001,186.564468,194327900
2015-08-21,201.729996,203.940002,197.520004,197.830002,180.948425,346588500
2015-08-24,187.490005,197.479996,182.399994,189.500000,173.329254,507244300
2015-08-25,195.429993,195.449997,186.919998,187.270004,171.289536,369833100
2015-08-26,192.080002,194.789993,188.369995,194.460007,177.866013,339257000
2015-08-27,197.020004,199.419998,195.210007,199.270004,182.265549,274143900
2015-08-28,198.500000,199.839996,197.919998,199.279999,182.274689,160414400
2015-08-31,198.110001,199.130005,197.009995,197.669998,180.802063,163298800
2015-09-01,193.119995,194.770004,190.729996,191.770004,175.405548,256000400
2015-09-02,194.619995,195.460007,192.419998,195.410004,178.734955,160269300
2015-09-03,196.259995,198.050003,194.960007,195.550003,178.862991,152087800
2015-09-04,192.850006,193.860001,191.610001,192.589996,176.155579,207081000
2015-09-08,195.940002,197.610001,195.169998,197.429993,180.582535,116025700
2015-09-09,199.320007,199.470001,194.350006,194.789993,178.167847,149347700
2015-09-10,194.559998,197.220001,194.250000,195.850006,179.137390,158611100
2015-09-11,195.380005,196.820007,194.529999,196.740005,179.951431,119691200
2015-09-14,196.949997,197.009995,195.429993,196.009995,179.283691,79452000
2015-09-15,196.610001,198.990005,195.960007,198.460007,181.524658,113806200
2015-09-16,198.820007,200.410004,198.410004,200.179993,183.097839,99581600
2015-09-17,200.020004,202.889999,199.279999,199.729996,182.686234,276046600
2015-09-18,195.710007,198.679993,194.960007,195.449997,179.700897,223657500
2015-09-21,196.440002,197.679993,195.210007,196.460007,180.629547,105726200
2015-09-22,193.880005,194.460007,192.559998,193.910004,178.285049,153890900
2015-09-23,194.110001,194.669998,192.910004,193.600006,178.000000,92790600
2015-09-24,192.149994,193.449997,190.559998,192.899994,177.356400,159378800
2015-09-25,194.639999,195.000000,191.809998,192.850006,177.310410,155054800
2015-09-28,191.779999,191.910004,187.639999,188.009995,172.860428,178515900
2015-09-29,188.270004,189.740005,186.929993,188.119995,172.961563,159045600
2015-09-30,190.369995,191.830002,189.440002,191.630005,176.188705,163452000
2015-10-01,192.080002,192.490005,189.820007,192.130005,176.648453,131079000
2015-10-02,189.770004,195.029999,189.119995,195.000000,179.287155,211003300
2015-10-05,196.460007,198.740005,196.330002,198.470001,182.477585,126320800
2015-10-06,198.309998,198.979996,197.000000,197.789993,181.852356,110274500
2015-10-07,198.899994,199.830002,197.479996,199.410004,183.341827,124307300
2015-10-08,198.949997,201.550003,198.589996,201.210007,184.996796,153055200
2015-10-09,201.380005,201.899994,200.580002,201.330002,185.107101,107069200
2015-10-12,201.419998,201.759995,200.910004,201.520004,185.281799,56395600
2015-10-13,200.649994,202.160004,200.050003,200.250000,184.114120,88038700
2015-10-14,200.179993,200.869995,198.940002,199.289993,183.231491,99106200
2015-10-15,200.080002,202.360001,199.639999,202.350006,186.044891,134142200
2015-10-16,202.830002,203.289993,201.919998,203.270004,186.890793,114580100
